id,token,pos,class,meaning,idiomliteral
1,cold,JJ,Euphemism,become scared,Yes
,feet,NNS,,,
2,There,EX,Euphemism,,
,'s,VBZ,,,
,no,DT,,,
,room,NN,,,
,fur,VBZ,,,
,cold,JJ,,,
,feet,NNS,,,
,on,IN,,,
,the,DT,,,
,sort,NN,,,
,of,IN,,,
,expedition,NN,,,
,we,PRP,,,
,'re,VBP,,,
,embarkin,JJ,,,
,','',,,
,on,IN,,,
3,Got,NNP,Euphemism,,
,cold,JJ,,,
,feet,NNS,,,
,about,IN,,,
,meeting,VBG,,,
,yourself,PRP,,,
,face,NN,,,
,to,TO,,,
,face,VB,,,
,?,.,,,
4,he,PRP,Euphemism,,
,can,MD,,,
,stay,VB,,,
,aloft,RB,,,
,at,IN,,,
,great,JJ,,,
,heights,NNS,,,
,without,IN,,,
,getting,VBG,,,
,cold,JJ,,,
,feet,NNS,,,
5,was,VBD,Euphemism,,
,beginning,VBG,,,
,to,TO,,,
,get,VB,,,
,cold,JJ,,,
,feet,NNS,,,
,and,CC,,,
,insisted,VBN,,,
,upon,IN,,,
,appending,VBG,,,
,a,DT,,,
,minority,NN,,,
,report,NN,,,
6,the,DT,Euphemism,,
,committee,NN,,,
,got,VBD,,,
,cold,JJ,,,
,feet,NNS,,,
,when,WRB,,,
,it,PRP,,,
,found,VBD,,,
,they,PRP,,,
,might,MD,,,
,not,RB,,,
,be,VB,,,
,fully,RB,,,
,insured,JJ,,,
7,Later,RB,Euphemism,,
,he,PRP,,,
,has,VBZ,,,
,second,JJ,,,
,thoughts,NNS,,,
,.,.,,,
,He,PRP,,,
,gets,VBZ,,,
,cold,JJ,,,
,feet,NNS,,,
,and,CC,,,
,phones,NNS,,,
,his,PRP$,,,
,bank,NN,,,
,manager,NN,,,
,asking,VBG,,,
,him,PRP,,,
,to,TO,,,
,stop,VB,,,
,the,DT,,,
,cheque,NN,,,
,.,.,,,
8,I,PRP,Euphemism,,
,began,VBD,,,
,to,TO,,,
,get,VB,,,
,cold,JJ,,,
,feet,NNS,,,
,",",",",,,
,but,CC,,,
,these,DT,,,
,other,JJ,,,
,two,CD,,,
,guys,NNS,,,
,were,VBD,,,
,totally,RB,,,
,positive,JJ,,,
,and,CC,,,
,they,PRP,,,
,were,VBD,,,
,absolutely,RB,,,
,right,JJ,,,
9,so,RB,Euphemism,,
,why,WRB,,,
,are,VBP,,,
,we,PRP,,,
,now,RB,,,
,beginning,VBG,,,
,to,TO,,,
,get,VB,,,
,cold,JJ,,,
,feet,NNS,,,
,?,.,,,
,Surely,RB,,,
